"","Study#","Virus strain","number of samples","Virus dose/note","NHP ID","Time point post challenge","sr_group","sr_group_time","sr_group_dose","sr_info","ag_name","Titer","Titer_thresh1","Titer_thresh20"
"109","20-05","Wuhan","n=5","?","7223","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7223_D10_?_20-05","HK.3","*","*","*"
"110","20-05","Wuhan","n=5","?","7223","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7223_D10_?_20-05","BA.2.86","*","*","*"
"111","20-05","Wuhan","n=5","?","7223","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7223_D10_?_20-05","EG.5.1","*","*","*"
"112","20-05","Wuhan","n=5","?","7223","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7223_D10_?_20-05","JN.1","*","*","*"
"113","20-05","Wuhan","n=5","?","7223","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7223_D10_?_20-05","KP.2","*","*","*"
"114","20-05","Wuhan","n=5","?","7223","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7223_D10_?_20-05","KP.3","*","*","*"
"115","20-05","Wuhan","n=5","?","7223","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7223_D10_?_20-05","KZ.1.1.1","*","*","*"
"116","20-05","Wuhan","n=5","?","T576","D20","Wuhan conv.","Wuhan conv.:D20","Wuhan conv.:?","Wuhan conv._T576_D20_?_20-05","Wuhan","248.68439074034799","248.68439074034799","248.68439074034799"
"117","20-05","Wuhan","n=5","?","T576","D20","Wuhan conv.","Wuhan conv.:D20","Wuhan conv.:?","Wuhan conv._T576_D20_?_20-05","Alpha","196.257254989957","196.257254989957","196.257254989957"
"118","20-05","Wuhan","n=5","?","T576","D20","Wuhan conv.","Wuhan conv.:D20","Wuhan conv.:?","Wuhan conv._T576_D20_?_20-05","Beta","62.7677571329749","62.7677571329749","62.7677571329749"
"119","20-05","Wuhan","n=5","?","T576","D20","Wuhan conv.","Wuhan conv.:D20","Wuhan conv.:?","Wuhan conv._T576_D20_?_20-05","Delta","25.0254692401132","25.0254692401132","25.0254692401132"
"120","20-05","Wuhan","n=5","?","T576","D20","Wuhan conv.","Wuhan conv.:D20","Wuhan conv.:?","Wuhan conv._T576_D20_?_20-05","BA.1","17.017221247461499","17.017221247461499","<20"
"121","20-05","Wuhan","n=5","?","T576","D20","Wuhan conv.","Wuhan conv.:D20","Wuhan conv.:?","Wuhan conv._T576_D20_?_20-05","BA.2","28.961118811093701","28.961118811093701","28.961118811093701"
"122","20-05","Wuhan","n=5","?","T576","D20","Wuhan conv.","Wuhan conv.:D20","Wuhan conv.:?","Wuhan conv._T576_D20_?_20-05","BA.2.12.1","17.504582004309299","17.504582004309299","<20"
"123","20-05","Wuhan","n=5","?","T576","D20","Wuhan conv.","Wuhan conv.:D20","Wuhan conv.:?","Wuhan conv._T576_D20_?_20-05","BA.5","18.740984987308298","18.740984987308298","<20"
"124","20-05","Wuhan","n=5","?","T576","D20","Wuhan conv.","Wuhan conv.:D20","Wuhan conv.:?","Wuhan conv._T576_D20_?_20-05","BQ.1.1","16.906764953284501","16.906764953284501","<20"
"125","20-05","Wuhan","n=5","?","T576","D20","Wuhan conv.","Wuhan conv.:D20","Wuhan conv.:?","Wuhan conv._T576_D20_?_20-05","CH.1.1","17.663296597887999","17.663296597887999","<20"
"126","20-05","Wuhan","n=5","?","T576","D20","Wuhan conv.","Wuhan conv.:D20","Wuhan conv.:?","Wuhan conv._T576_D20_?_20-05","XBB.1","31.856607971636102","31.856607971636102","31.856607971636102"
"127","20-05","Wuhan","n=5","?","T576","D20","Wuhan conv.","Wuhan conv.:D20","Wuhan conv.:?","Wuhan conv._T576_D20_?_20-05","XBB.1.5","32.104317323342698","32.104317323342698","32.104317323342698"
