"","sr_group","ag1","ag2","fc","fc_lower","fc_upper"
"205","XBB.1.5 vax. (two doses)","xbb.1.5","KP.2",-3.03373110155481,-4.60453449008879,-1.4053628283979
"206","XBB.1.5 vax. (two doses)","xbb.1.5","KP.3",-3.58514118389336,-4.85065435424993,-2.24225202242287
"207","XBB.1.5 vax. (two doses)","xbb.1.5","KZ.1.1.1",-4.08167173721219,-5.58963940196336,-2.58098657629571
"208","Wuhan vax. (single dose)","wuhan","Wuhan",0,-1.44004119823496,1.43662638547753
"209","Wuhan vax. (single dose)","wuhan","Alpha",-0.366937412421878,-1.89249086433385,1.17346289600059
"210","Wuhan vax. (single dose)","wuhan","Beta",-2.59496020206178,-4.08930860577839,-1.09063303838746
"211","Wuhan vax. (single dose)","wuhan","Delta",-1.53227629303042,-3.08798994421462,0.0427262180152338
"212","Wuhan vax. (single dose)","wuhan","BA.1",-4.37711852352773,-8.61999157516035,-2.24239358690245
"213","Wuhan vax. (single dose)","wuhan","BA.2",-3.7860962529467,-6.1602520014619,-2.00948745222589
"214","Wuhan vax. (single dose)","wuhan","BA.2.12.1",-10.2282042928012,-196.897042380324,-4.97261058550708
"215","Wuhan vax. (single dose)","wuhan","BA.5",-3.1157845229444,-4.64099700285858,-1.68072093354816
"216","Wuhan vax. (single dose)","wuhan","BQ.1.1",-2.41549763044006,-4.04590068298306,-0.745751829667131
"217","Wuhan vax. (single dose)","wuhan","CH.1.1",-3.50703913827164,-5.19301745560348,-1.8619132946127
"218","Wuhan vax. (single dose)","wuhan","XBB.1",-2.48411295974928,-3.96014533207853,-0.980070857109746
"219","Wuhan vax. (single dose)","wuhan","XBB.1.5",-2.85042876156762,-4.39154495484442,-1.1868911147612
"220","Wuhan vax. (single dose)","wuhan","XBC.1.6",-10.2282042928012,-200.268353498583,-5.42480995432323
"221","Wuhan vax. (single dose)","wuhan","FL.1.5.1",-5.11139403360031,-19.7922856284081,-2.13624462587171
"222","Wuhan vax. (single dose)","wuhan","DV.7.1",-10.2282042928012,-202.569706972322,-6.0845647660142
"223","Wuhan vax. (single dose)","wuhan","HV.1",-10.2282042928012,-200.037186307209,-5.95043653229275
"224","Wuhan vax. (single dose)","wuhan","HK.3",-10.2282042928012,-200.033042559038,-5.31941452595211
"225","Wuhan vax. (single dose)","wuhan","BA.2.86",-4.16450167275019,-9.6852486610287,-1.56002049032523
"226","Wuhan vax. (single dose)","wuhan","EG.5.1",-4.18920168041705,-8.90074761979141,-1.79421181059235
"227","Wuhan vax. (single dose)","wuhan","JN.1",-4.87319276186691,-21.9601610318849,-1.36394120405708
"228","Wuhan vax. (single dose)","wuhan","KP.2",-4.85576582038528,-23.318282025435,-0.467790097882438
"229","Wuhan vax. (single dose)","wuhan","KP.3",-4.12780901367518,-9.31005836539505,-1.75356506725271
"230","Wuhan vax. (single dose)","wuhan","KZ.1.1.1",-10.2282042928012,-200.13988476216,-5.8834140080148
"231","Beta vax. (single dose)","beta","Wuhan",-1.68939518831075,-3.35671914455477,-0.0539269786867156
"232","Beta vax. (single dose)","beta","Alpha",-1.6617928294478,-3.28504285959897,-0.113154425624102
"233","Beta vax. (single dose)","beta","Beta",0,-1.38729345474986,1.43135268533833
"234","Beta vax. (single dose)","beta","Delta",-2.098923472717,-3.72775715059645,-0.539736705276773
"235","Beta vax. (single dose)","beta","BA.1",-3.81440792304122,-7.16527520155458,-1.33954945818011
"236","Beta vax. (single dose)","beta","BA.2",-3.99097786352966,-6.95068104300798,-1.56899423470729
"237","Beta vax. (single dose)","beta","BA.2.12.1",-10.3322815856007,-196.163716653393,-2.85143801939442
"238","Beta vax. (single dose)","beta","BA.5",-2.82070611051882,-4.48394742597779,-1.11416620149507
"239","Beta vax. (single dose)","beta","BQ.1.1",-10.3322815856007,-199.628711538224,-5.64319319665579
"240","Beta vax. (single dose)","beta","CH.1.1",-10.3322815856007,-201.096006585197,-5.65228309338022
"241","Beta vax. (single dose)","beta","XBB.1",-10.3322815856007,-204.244958310017,-5.88554314689268
"242","Beta vax. (single dose)","beta","XBB.1.5",-3.1265843351508,-4.97468415656403,-1.27215782936373
"243","Beta vax. (single dose)","beta","XBC.1.6",-10.3322815856007,-200.253291003464,-5.92144042073103
"244","Beta vax. (single dose)","beta","FL.1.5.1",-10.3322815856007,-199.381887397959,-5.55514773703201
"245","Beta vax. (single dose)","beta","DV.7.1",-10.3322815856007,-200.89432510735,-5.92800990153848
"246","Beta vax. (single dose)","beta","HV.1",-10.3322815856007,-199.301670720315,-6.02515527702139
"247","Beta vax. (single dose)","beta","HK.3",-10.3322815856007,-204.503582363635,-6.24713782963305
"248","Beta vax. (single dose)","beta","BA.2.86",-10.3322815856007,-201.62376859204,-5.38997075278655
"249","Beta vax. (single dose)","beta","EG.5.1",-10.3322815856007,-195.448157483348,-5.27539187071259
"250","Beta vax. (single dose)","beta","JN.1",-10.3322815856007,-199.507854560076,-5.69544557770579
"251","Beta vax. (single dose)","beta","KP.2",-10.3322815856007,-199.71073738604,-5.86891986330302
"252","Beta vax. (single dose)","beta","KP.3",-10.3322815856007,-200.483242323021,-6.20314152064355
"253","Beta vax. (single dose)","beta","KZ.1.1.1",-10.3322815856007,-203.425695168771,-3.59984534318522
